150 0
150 0
150 0
150 0
150 0
150 0
150 0
150 0
131 19
35 116
83 68
71 80
97 55
66 86
34 118
80 72
120 31
53 98
74 77
62 89
91 60
74 78
89 63
73 78
89 63
69 83
86 66
33 119
91 61
62 90
112 40
45 107
104 48
99 53
42 110
107 44
88 63
44 107
62 89
72 80
73 79
70 81
80 72
76 75
75 76
75 76
77 75
76 76
76 76
75 76
77 74
75 76
76 75
75 76
76 75
74 77
76 76
75 77
76 76
75 76
75 76
75 76
76 76
75 76
75 76
74 78
78 74
74 77
77 75
0 128
0 144
0 149
0 150
0 150
0 150
0 150
